Forward_Sortation_Area,Total_Notifs,Total_Vermiculite,Total_Piping,Total_Drywall,Total_Insulation,Total_Tiling,Total_Floor_Tiles,Total_Ceiling_Tiles,Total_Ducting,Total_Plaster,Total_Stucco_Stipple,Total_Fittings,Insulation_Percent,Drywall_Percent,Piping_Percent,Vermiculite_Percent,Tiling_Percent,Floor_Tiles_Percent,Ceiling_Tiles_Percent,Ducting_Percent,Plaster_Percent,Stucco_Stipple_Percent,Fittings_Percent
R0A,59,10,1,22,3,8,4,2,1,6,3,3,5.08%,37.29%,1.69%,16.95%,13.56%,6.78%,3.39%,1.69%,10.17%,5.08%,5.08%
R0B,77,9,7,31,15,19,8,3,2,2,1,0,19.48%,40.26%,9.09%,11.69%,24.68%,10.39%,3.90%,2.60%,2.60%,1.30%,0.00%
R0C,158,22,22,51,30,16,3,6,0,8,4,5,18.99%,32.28%,13.92%,13.92%,10.13%,1.90%,3.80%,0.00%,5.06%,2.53%,3.16%
R0E,164,41,10,44,14,15,5,2,5,4,7,9,8.54%,26.83%,6.10%,25.00%,9.15%,3.05%,1.22%,3.05%,2.44%,4.27%,5.49%
R0G,87,16,4,35,9,12,7,5,2,6,4,1,10.34%,40.23%,4.60%,18.39%,13.79%,8.05%,5.75%,2.30%,6.90%,4.60%,1.15%
R0H,22,8,1,4,5,4,1,1,0,2,1,1,22.73%,18.18%,4.55%,36.36%,18.18%,4.55%,4.55%,0.00%,9.09%,4.55%,4.55%
R0J,74,12,5,29,9,16,5,1,5,2,0,1,12.16%,39.19%,6.76%,16.22%,21.62%,6.76%,1.35%,6.76%,2.70%,0.00%,1.35%
R0K,167,27,16,45,26,52,8,10,4,6,7,3,15.57%,26.95%,9.58%,16.17%,31.14%,4.79%,5.99%,2.40%,3.59%,4.19%,1.80%
R0L,62,5,5,27,7,14,3,3,2,2,1,1,11.29%,43.55%,8.06%,8.06%,22.58%,4.84%,4.84%,3.23%,3.23%,1.61%,1.61%
R0M,35,2,3,12,4,7,1,0,2,1,2,0,11.43%,34.29%,8.57%,5.71%,20.00%,2.86%,0.00%,5.71%,2.86%,5.71%,0.00%
R1A,187,11,32,58,28,28,1,4,2,11,10,16,14.97%,31.02%,17.11%,5.88%,14.97%,0.53%,2.14%,1.07%,5.88%,5.35%,8.56%
R1C,7,0,0,3,0,1,0,0,0,0,1,0,0.00%,42.86%,0.00%,0.00%,14.29%,0.00%,0.00%,0.00%,0.00%,14.29%,0.00%
R1N,136,13,61,24,51,9,1,3,5,4,2,9,37.50%,17.65%,44.85%,9.56%,6.62%,0.74%,2.21%,3.68%,2.94%,1.47%,6.62%
R2C,272,24,33,91,32,36,8,8,3,12,45,16,11.76%,33.46%,12.13%,8.82%,13.24%,2.94%,2.94%,1.10%,4.41%,16.54%,5.88%
R2E,31,4,5,13,0,1,0,0,1,5,4,2,0.00%,41.94%,16.13%,12.90%,3.23%,0.00%,0.00%,3.23%,16.13%,12.90%,6.45%
R2G,197,10,14,100,5,20,11,4,2,10,22,6,2.54%,50.76%,7.11%,5.08%,10.15%,5.58%,2.03%,1.02%,5.08%,11.17%,3.05%
R2H,419,38,52,112,70,82,7,5,15,61,34,12,16.71%,26.73%,12.41%,9.07%,19.57%,1.67%,1.19%,3.58%,14.56%,8.11%,2.86%
R2J,296,19,35,95,37,22,9,7,11,16,18,17,12.50%,32.09%,11.82%,6.42%,7.43%,3.04%,2.36%,3.72%,5.41%,6.08%,5.74%
R2K,374,28,38,155,31,87,8,25,4,29,30,19,8.29%,41.44%,10.16%,7.49%,23.26%,2.14%,6.68%,1.07%,7.75%,8.02%,5.08%
R2L,128,17,11,48,18,8,1,0,5,15,17,3,14.06%,37.50%,8.59%,13.28%,6.25%,0.78%,0.00%,3.91%,11.72%,13.28%,2.34%
R2M,415,37,28,159,32,90,15,11,17,18,49,8,7.71%,38.31%,6.75%,8.92%,21.69%,3.61%,2.65%,4.10%,4.34%,11.81%,1.93%
R2N,50,4,7,10,7,2,1,0,5,0,14,2,14.00%,20.00%,14.00%,8.00%,4.00%,2.00%,0.00%,10.00%,0.00%,28.00%,4.00%
R2P,139,4,4,64,6,30,2,2,3,0,6,4,4.32%,46.04%,2.88%,2.88%,21.58%,1.44%,1.44%,2.16%,0.00%,4.32%,2.88%
R2R,150,9,19,73,20,31,6,6,3,4,16,5,13.33%,48.67%,12.67%,6.00%,20.67%,4.00%,4.00%,2.00%,2.67%,10.67%,3.33%
R2V,173,23,17,57,23,20,4,1,6,11,16,5,13.29%,32.95%,9.83%,13.29%,11.56%,2.31%,0.58%,3.47%,6.36%,9.25%,2.89%
R2W,261,20,28,86,39,25,10,1,12,35,16,8,14.94%,32.95%,10.73%,7.66%,9.58%,3.83%,0.38%,4.60%,13.41%,6.13%,3.07%
R2X,173,22,17,63,21,21,7,1,8,16,17,8,12.14%,36.42%,9.83%,12.72%,12.14%,4.05%,0.58%,4.62%,9.25%,9.83%,4.62%
R2Y,313,8,17,209,7,56,1,2,2,7,16,4,2.24%,66.77%,5.43%,2.56%,17.89%,0.32%,0.64%,0.64%,2.24%,5.11%,1.28%
R3A,91,6,22,36,17,9,0,2,4,4,8,6,18.68%,39.56%,24.18%,6.59%,9.89%,0.00%,2.20%,4.40%,4.40%,8.79%,6.59%
