confirmationNo,Latitude,Longitude,formattedAddress,Original FSA,New FSA
1122555,49.933584,-97.0817975,"524 Oakland Ave, Winnipeg, MB R2G 0B5, Canada",R2G,R2K
1123562,49.8089651,-97.1366573,"71 Curry Pl, Winnipeg, MB R3T 2M6, Canada",R2N,R3T
1124775,49.9193023,-97.0810684,"710 Grey St, Winnipeg, MB R2K 3W9, Canada",R2H,R2K
1125920,50.0789845,-96.8414243,"73013 Pioneer Rd 27 E, East Selkirk, MB R0E 0M0, Canada",R0E,R1A
1126307,49.9002054,-97.0277611,"1500 Plessis Rd unit a, Winnipeg, MB R2C 5R5, Canada",R2C,R3W
1126389,49.8655406,-97.1803725,"1350 Grosvenor Ave, Winnipeg, MB R3M 3M2, Canada",R3M,R3N
1126435,49.8399223,-97.006376,"884 Symington Rd, Springfield, MB R3X 2A1, Canada",R3T,R2C
1126677,49.9367227,-97.2053478,"2221 King Edward St, Winnipeg, MB R2R 1M5, Canada",R3H,R2R
1126948,49.8954221,-97.1385145,"Td Storefront, 365 Main Stconcourse, Winnipeg, MB R0E 0C0, Canada",R0E,R3B
1127264,49.1825625,-97.9423479,"352 7 St, Winkler, MB R6W 1H2, Canada",R3H,R6W
1127733,49.8944799,-97.1406468,"Greenwoods Dental & Surgical Centre, 246 Portage Ave, Winnipeg, MB R3C 0B1, Canada",R2X,R3C
1128762,49.821849,-97.1080139,"102 Vista Ave, Winnipeg, MB R2M 4Y4, Canada",R2M,R2N
1129199,49.7633702,-97.1462303,"870 Sainte Therese Ave, Winnipeg, MB R3V 1H8, Canada",R3T,R3V
1129461,49.8847196,-97.1412015,"15 Carlton St, Winnipeg, MB R3C 1N7, Canada",R3P,R3C
1129476,49.8665304,-97.1530787,"753 Garwood Ave, Winnipeg, MB R3M 1M4, Canada",R2X,R3M
1130219,49.9129043,-97.1142244,"170 Poplar Ave, Winnipeg, MB R2L 2B6, Canada",R3E,R2L
1130466,49.8549358,-97.1739042,"25 Poseidon Bay, Winnipeg, MB R3M 3E4, Canada",R3B,R3M
1130686,49.8456924,-97.1650367,"45 Jupiter Bay, Winnipeg, MB R3T 0W5, Canada",R2M,R3T
1130875,49.8921327,-97.1532439,"515 Portage Ave, Winnipeg, MB R3B 2E9, Canada",R3E,R3B
1131268,49.925259,-97.2142788,"2116 Logan Ave, Winnipeg, MB R2R 0J2, Canada",R3L,R2R
1131310,49.9059642,-97.1371509,"360 Princess St, Winnipeg, MB R3B 1M6, Canada",R3B,R3A
1132167,51.1496809,-100.0499383,"101 Main St N, Dauphin, MB R7N 1C1, Canada",R7A,R7N
1132168,51.1496809,-100.0499383,"101 Main St N, Dauphin, MB R7N 1C1, Canada",R7A,R7N
1132271,49.8827858,-97.1149359,"291 Rte 115, Winnipeg, MB R2H 0S2, Canada",R3R,R2H
1132272,49.8344479,-97.1142448,"1106 St Mary's Rd, Winnipeg, MB R2M 3T5, Canada",R3R,R2M
1132274,49.8569736,-97.1584069,"630 Guelph St, Winnipeg, MB R3M 3B2, Canada",R3R,R3M
1133069,49.8746729,-97.2578298,"2510 Portage Ave #618, Winnipeg, MB R3J 0N9, Canada",R3R,R3J
1133203,49.8788739,-97.153705,"270 Roslyn Rd, Winnipeg, MB R3L 0H3, Canada",R3R,R3L
1133245,49.9715896,-98.2821564,"32 5 St SE, Portage la Prairie, MB R1N 1J2, Canada",R3H,R1N
1133410,49.8549358,-97.1739042,"25 Poseidon Bay, Winnipeg, MB R3M 3E4, Canada",R2K,R3M
1133782,49.8847646,-97.2804081,"731 Setter St, Winnipeg, MB R2Y 2J3, Canada",R3R,R2Y
1133808,49.884868,-97.2198799,"358 Inglewood St, Winnipeg, MB R3J 1X2, Canada",R2R,R3J
1134315,49.9450161,-97.1109416,"2021 Main St, Winnipeg, MB R2V 2B9, Canada",R2V,R2G
1134318,49.9449675,-97.1659966,"30 Maberley Rd, Winnipeg, MB R2P 0E2, Canada",R2V,R2P
