Forward_Sortation_Area,confirmationNo,Latitude,Longitude,formattedAddress,postalCode,supportDescription,riskType,submittedDate,startDate,endDate,owner,contractor,compName,Vermiculite,Piping,Drywall,Insulation,Tiling,Floor_Tiles,Ceiling_Tiles,Ducting,Plaster,Stucco_Stipple,Fittings,startYear
R2H,1119392,49.8815165,-97.1123017,"297 Enfield Crescent, Winnipeg, MB R2H 1C1, Canada",R2H 1C1, Outdoor type three abatement of vermiculite insulation from roof., Type III,Unavailable,2016-05-05 0:00,2016-05-20 0:00,Western Waste Mgmt., Western Wastev Mgmt., Teseract,1,0,0,1,0,0,0,0,0,0,0,2016
R3J,1119415,49.9029993,-97.267424,"2700 Saskatchewan Avenue, Winnipeg, MB R3J 3Y9, Canada",R3J 3Y9, Demolition of steel building with Type I Asbestos Board , Type I,Unavailable,2016-05-03 0:00,2016-05-31 0:00,Interlake Salvage and Recycling INC., Wreck It Demolition , Pinchin Group ,0,0,0,0,0,0,0,0,0,0,0,2016
R0H,1120104,49.9181656,-98.2736355,"25 Centennaire Drive, Southport, MB R0H 1N1, Canada",R0H 1N1, Glove bag on all piping in mechanical room as well as in the crawl space and in the attic. floor tiles as well as ceiling tiles will be removed at a different date under a new notice of project, Other,Unavailable,2016-05-16 0:00,2016-05-21 0:00,Total Demolition, International Rigging Co, tesseract Environmental Consulting Inc,0,1,0,0,1,1,1,0,0,0,0,2016
R3P,1122524,49.8721227,-97.2148414,"115 Grenfell Boulevard, Winnipeg, MB R3P 0B6, Canada",R3P 0B6, some type  tile in the basement and vermiculite in the attic. We will be using our new trailer and vacuum system.  Chris cox and Taylor Bach will be the workers. , Type III,Unavailable,2016-06-10 0:00,2016-06-22 0:00,On time Group, On Time Group , MWI Brad Walker,1,0,0,0,1,0,0,0,0,0,0,2016
R2K,1122555,49.933584,-97.0817975,"524 Oakland Avenue, Winnipeg, MB R2G 3G6, Canada",R2G 3G6, Removal of pipe wrap on furnace supply air ducting.  Removal will take less than three hours.  Type  II procedures will be implemented.   Two day notice is requested due to expediting remediation of house from fire damage., Type II,Unavailable,2016-06-08 0:00,2016-06-08 0:00,Winnipeg Building  Decorating, Co-Gent, MWI Consultants Inc,0,1,0,0,0,0,0,1,0,0,0,2016
R2M,1122776,49.8218246,-97.1204901,"75 Woodlawn Avenue, Winnipeg, MB R2M 2P3, Canada",R2M 2P3, Outside type three removal of loose asbestos containing plaster, Type III,Unavailable,2016-06-13 0:00,2016-06-17 0:00,Western Waste Mgmt, Western Waste Mgnt, AMEC,0,0,0,0,0,0,0,0,1,0,0,2016
R3T,1122937,49.8364202,-97.1545666,"329 Hudson Street, Winnipeg, MB R3T 0P9, Canada",R3T 0P9, Hoarder house originally had drywall tested and joint compound came back positive for asbestos.  Work began May eleventh as a type two for remediation of content.  Pinchin developed scope.  Today we encountered vermiculate and shut down the job. Samples have been submitted for testing and will be returned tomorrow. Pinchin visited the site today advise us on proceeding with type three protocols. The site is very wet and has tons on content.  I have spoken to Angela and she advised us to submit notice and proceed tomorrow due to the urgent nature of the job.  I had to submit form with a start date of June thirteenth but we will begin tomorrow. , Type III,Unavailable,2016-06-13 0:00,2016-07-22 0:00,Priority Restoration, Priority Restoration, Pinchin (Justin Schroeder),0,0,1,0,0,0,0,0,0,0,0,2016
R0L,1123085,51.989369,-99.589181,"Former Store, Skownan, MB R0L 1Y0, Canada",R0L 1Y0, Demolition of former store building cement block wall. Demo will be done from the top down using Aerial work platforms. All workers have received asbestos training conducted by Pinchin Environmental. Workers will wear tyvek and half mask respirators using hepa vacuums. All material will be double bagged as required and disposed of at BFI landfill in Winnipeg., Other,Unavailable,2016-06-20 0:00,2016-06-30 0:00,WERI, WERI, Aski,0,0,0,0,0,0,0,1,0,0,0,2016
R3E,1123213,49.9046013,-97.1604241,"745 Bannatyne Avenue, Winnipeg, MB R3E 0W3, Canada",R3E 0W3, Type III Removal of asbestos containing joint compound from Drywall Finishes in six floor proposed NMU renovation site at the Basic Medical Science Building at the Bannatyne Campus of the University of Manitoba  , Type III,Unavailable,2016-06-20 0:00,2016-07-15 0:00,University of Manitoba - Richard Ch, Smashers Demolition, Tesseract,0,0,1,0,0,0,0,0,0,0,0,2016
R3E,1123214,49.9046463,-97.1612427,"770 Bannatyne Avenue, Winnipeg, MB R3E 0W3, Canada",R3E 0W3, Type II glove bag of mechanical insulation and Type I vinyl floor tile removal in proposed EHS Renovation site in Pathology BLDG at the Bannatyne Campus University of Manitoba , Type II,Unavailable,2016-06-20 0:00,2016-06-30 0:00,University of Manitoba - Richard Ch, Advance Robotics , Tesseract,0,0,0,1,1,0,0,0,0,0,0,2016
